Hand,Hand Type,k,Raw EV (Win %),Opponent Pool Size,Opponent Hands,Entropy (bits),Info Gain vs k=0 (bits),Certainty %,Ambiguity %
As Ks Kd Qs Tc,Pair,0,26.79,16,4368,2.200,0.000,0.0,0.0
As Ks Kd Qs Tc,Pair,1,41.58,15,3003,2.185,0.016,13.8,22.5
As Ks Kd Qs Tc,Pair,2,44.36,14,2002,2.166,0.035,32.1,16.5
As Ks Kd Qs Tc,Pair,3,46.91,13,1287,2.142,0.059,39.2,14.2
As Ks Kd Qs Tc,Pair,4,48.66,12,792,2.111,0.090,46.4,12.4
As Ks Kd Qs Tc,Pair,5,49.10,11,462,2.069,0.131,57.2,9.5
As Ks Kd Qs Td,Pair,0,26.79,16,4368,2.206,0.000,0.0,0.0
As Ks Kd Qs Td,Pair,1,41.58,15,3003,2.190,0.016,13.8,22.5
As Ks Kd Qs Td,Pair,2,44.36,14,2002,2.171,0.035,32.1,16.5
As Ks Kd Qs Td,Pair,3,46.92,13,1287,2.147,0.059,39.2,14.2
As Ks Kd Qs Td,Pair,4,48.65,12,792,2.116,0.090,46.4,12.4
As Ks Kd Qs Td,Pair,5,49.11,11,462,2.074,0.132,57.2,9.5
As Ks Kd Qs Th,Pair,0,26.79,16,4368,2.200,0.000,0.0,0.0
As Ks Kd Qs Th,Pair,1,41.58,15,3003,2.185,0.016,13.8,22.5
As Ks Kd Qs Th,Pair,2,44.36,14,2002,2.166,0.035,32.1,16.5
As Ks Kd Qs Th,Pair,3,46.91,13,1287,2.142,0.059,39.2,14.2
As Ks Kd Qs Th,Pair,4,48.66,12,792,2.111,0.090,46.4,12.4
As Ks Kd Qs Th,Pair,5,49.10,11,462,2.069,0.131,57.2,9.5
As Ks Kd Qs Ts,Pair,0,26.79,16,4368,2.207,0.000,0.0,0.0
As Ks Kd Qs Ts,Pair,1,41.95,15,3003,2.191,0.016,15.0,22.5
As Ks Kd Qs Ts,Pair,2,44.36,14,2002,2.172,0.035,32.0,16.5
As Ks Kd Qs Ts,Pair,3,46.90,13,1287,2.148,0.059,39.2,14.2
As Ks Kd Qs Ts,Pair,4,48.65,12,792,2.117,0.090,46.4,12.4
As Ks Kd Qs Ts,Pair,5,49.11,11,462,2.076,0.131,57.2,9.5
As Ks Kd Qs W,Three of a Kind,0,88.32,16,4368,1.851,0.000,100.0,0.0
As Ks Kd Qs W,Three of a Kind,1,90.77,15,3003,1.847,0.004,100.0,0.0
As Ks Kd Qs W,Three of a Kind,2,89.86,14,2002,1.841,0.010,95.8,0.0
As Ks Kd Qs W,Three of a Kind,3,89.10,13,1287,1.830,0.021,94.1,0.0
As Ks Kd Qs W,Three of a Kind,4,88.37,12,792,1.815,0.036,90.4,0.0
As Ks Kd Tc W,Three of a Kind,0,88.32,16,4368,1.849,0.000,100.0,0.0
As Ks Kd Tc W,Three of a Kind,1,89.35,15,3003,1.845,0.004,90.6,0.0
As Ks Kd Tc W,Three of a Kind,2,88.48,14,2002,1.839,0.010,85.8,0.0
As Ks Kd Tc W,Three of a Kind,3,88.07,13,1287,1.829,0.021,83.7,0.0
As Ks Kd Tc W,Three of a Kind,4,87.58,12,792,1.813,0.036,82.9,0.0
As Ks Kd Td Tc,Two Pair,0,41.76,16,4368,2.239,0.000,0.0,100.0
As Ks Kd Td Tc,Two Pair,1,38.05,15,3003,2.223,0.016,28.7,33.8
As Ks Kd Td Tc,Two Pair,2,42.67,14,2002,2.203,0.036,32.2,18.2
As Ks Kd Td Tc,Two Pair,3,44.27,13,1287,2.177,0.062,40.1,13.1
As Ks Kd Td Tc,Two Pair,4,46.11,12,792,2.144,0.095,46.6,9.1
As Ks Kd Td Tc,Two Pair,5,49.27,11,462,2.100,0.139,55.5,7.5
As Ks Kd Td W,Three of a Kind,0,88.32,16,4368,1.851,0.000,100.0,0.0
As Ks Kd Td W,Three of a Kind,1,89.35,15,3003,1.847,0.004,90.6,0.0
As Ks Kd Td W,Three of a Kind,2,88.52,14,2002,1.841,0.010,85.8,0.0
As Ks Kd Td W,Three of a Kind,3,88.04,13,1287,1.830,0.021,83.7,0.0
As Ks Kd Td W,Three of a Kind,4,87.59,12,792,1.815,0.036,82.9,0.0
As Ks Kd Th Tc,Two Pair,0,41.76,16,4368,2.233,0.000,0.0,100.0
As Ks Kd Th Tc,Two Pair,1,38.06,15,3003,2.217,0.016,28.7,33.8
As Ks Kd Th Tc,Two Pair,2,42.67,14,2002,2.197,0.036,32.2,18.2
As Ks Kd Th Tc,Two Pair,3,44.26,13,1287,2.172,0.061,40.1,13.1
As Ks Kd Th Tc,Two Pair,4,46.12,12,792,2.139,0.094,46.6,9.1
As Ks Kd Th Tc,Two Pair,5,49.26,11,462,2.095,0.138,55.4,7.5
As Ks Kd Th Td,Two Pair,0,41.76,16,4368,2.239,0.000,0.0,100.0
As Ks Kd Th Td,Two Pair,1,38.05,15,3003,2.223,0.016,28.7,33.8
As Ks Kd Th Td,Two Pair,2,42.67,14,2002,2.203,0.036,32.2,18.2
As Ks Kd Th Td,Two Pair,3,44.27,13,1287,2.177,0.062,40.1,13.1
As Ks Kd Th Td,Two Pair,4,46.11,12,792,2.144,0.095,46.6,9.1
As Ks Kd Th Td,Two Pair,5,49.27,11,462,2.100,0.139,55.5,7.5
As Ks Kd Th W,Three of a Kind,0,88.32,16,4368,1.849,0.000,100.0,0.0
As Ks Kd Th W,Three of a Kind,1,89.35,15,3003,1.845,0.004,90.6,0.0
As Ks Kd Th W,Three of a Kind,2,88.48,14,2002,1.839,0.010,85.8,0.0
As Ks Kd Th W,Three of a Kind,3,88.07,13,1287,1.829,0.021,83.7,0.0
As Ks Kd Th W,Three of a Kind,4,87.58,12,792,1.813,0.036,82.9,0.0
As Ks Kd Ts Tc,Two Pair,0,41.76,16,4368,2.241,0.000,0.0,100.0
As Ks Kd Ts Tc,Two Pair,1,38.05,15,3003,2.224,0.016,28.7,33.8
As Ks Kd Ts Tc,Two Pair,2,42.70,14,2002,2.204,0.036,32.2,18.2
As Ks Kd Ts Tc,Two Pair,3,44.25,13,1287,2.179,0.062,40.1,13.1
As Ks Kd Ts Tc,Two Pair,4,46.11,12,792,2.146,0.095,46.6,9.1
As Ks Kd Ts Tc,Two Pair,5,49.27,11,462,2.101,0.139,55.5,7.5
As Ks Kd Ts Td,Two Pair,0,41.76,16,4368,2.246,0.000,0.0,100.0
As Ks Kd Ts Td,Two Pair,1,38.05,15,3003,2.230,0.016,28.7,33.8
As Ks Kd Ts Td,Two Pair,2,42.70,14,2002,2.210,0.036,32.2,18.2
As Ks Kd Ts Td,Two Pair,3,44.26,13,1287,2.184,0.062,40.1,13.1
As Ks Kd Ts Td,Two Pair,4,46.10,12,792,2.151,0.095,46.5,9.1
As Ks Kd Ts Td,Two Pair,5,49.28,11,462,2.106,0.140,55.5,7.5
As Ks Kd Ts Th,Two Pair,0,41.76,16,4368,2.241,0.000,0.0,100.0
As Ks Kd Ts Th,Two Pair,1,38.05,15,3003,2.224,0.016,28.7,33.8
As Ks Kd Ts Th,Two Pair,2,42.70,14,2002,2.204,0.036,32.2,18.2
As Ks Kd Ts Th,Two Pair,3,44.25,13,1287,2.179,0.062,40.1,13.1
As Ks Kd Ts Th,Two Pair,4,46.11,12,792,2.146,0.095,46.6,9.1
As Ks Kd Ts Th,Two Pair,5,49.27,11,462,2.101,0.139,55.5,7.5
As Ks Kd Ts W,Three of a Kind,0,88.32,16,4368,1.851,0.000,100.0,0.0
As Ks Kd Ts W,Three of a Kind,1,89.67,15,3003,1.847,0.004,90.6,0.0
As Ks Kd Ts W,Three of a Kind,2,88.48,14,2002,1.841,0.010,85.8,0.0
As Ks Kd Ts W,Three of a Kind,3,88.04,13,1287,1.830,0.021,83.7,0.0
As Ks Kd Ts W,Three of a Kind,4,87.60,12,792,1.815,0.036,82.9,0.0
As Ks Kh Jc Tc,Pair,0,25.96,16,4368,2.199,0.000,0.0,0.0
As Ks Kh Jc Tc,Pair,1,40.37,15,3003,2.183,0.016,21.2,22.5
As Ks Kh Jc Tc,Pair,2,43.23,14,2002,2.164,0.035,34.0,17.0
As Ks Kh Jc Tc,Pair,3,46.04,13,1287,2.140,0.059,39.8,15.8
As Ks Kh Jc Tc,Pair,4,48.10,12,792,2.109,0.090,44.6,12.3
As Ks Kh Jc Tc,Pair,5,49.10,11,462,2.067,0.132,53.7,8.1
As Ks Kh Jc Td,Pair,0,25.96,16,4368,2.193,0.000,0.0,0.0
As Ks Kh Jc Td,Pair,1,40.37,15,3003,2.177,0.016,21.2,22.5
As Ks Kh Jc Td,Pair,2,43.24,14,2002,2.158,0.034,34.0,17.0
As Ks Kh Jc Td,Pair,3,46.04,13,1287,2.134,0.058,39.7,15.8
As Ks Kh Jc Td,Pair,4,48.12,12,792,2.104,0.089,44.6,12.3
As Ks Kh Jc Td,Pair,5,49.09,11,462,2.062,0.130,53.7,8.1
As Ks Kh Jc Th,Pair,0,25.96,16,4368,2.199,0.000,0.0,0.0
As Ks Kh Jc Th,Pair,1,40.37,15,3003,2.183,0.016,21.2,22.5
As Ks Kh Jc Th,Pair,2,43.23,14,2002,2.164,0.035,34.0,17.0
As Ks Kh Jc Th,Pair,3,46.05,13,1287,2.140,0.059,39.8,15.8
As Ks Kh Jc Th,Pair,4,48.10,12,792,2.109,0.090,44.6,12.3
As Ks Kh Jc Th,Pair,5,49.10,11,462,2.067,0.131,53.7,8.1
As Ks Kh Jc Ts,Pair,0,25.96,16,4368,2.200,0.000,0.0,0.0
As Ks Kh Jc Ts,Pair,1,40.37,15,3003,2.185,0.016,21.2,22.5
As Ks Kh Jc Ts,Pair,2,43.27,14,2002,2.166,0.035,34.1,17.0
As Ks Kh Jc Ts,Pair,3,46.03,13,1287,2.142,0.059,39.7,15.8
As Ks Kh Jc Ts,Pair,4,48.11,12,792,2.111,0.090,44.6,12.3
As Ks Kh Jc Ts,Pair,5,49.10,11,462,2.069,0.131,53.7,8.1
As Ks Kh Jc W,Three of a Kind,0,88.32,16,4368,1.849,0.000,100.0,0.0
As Ks Kh Jc W,Three of a Kind,1,89.90,15,3003,1.845,0.004,100.0,0.0
As Ks Kh Jc W,Three of a Kind,2,89.17,14,2002,1.839,0.010,95.8,0.0
As Ks Kh Jc W,Three of a Kind,3,88.59,13,1287,1.829,0.021,87.9,0.0
As Ks Kh Jc W,Three of a Kind,4,87.96,12,792,1.813,0.036,86.2,0.0
As Ks Kh Jd Jc,Two Pair,0,42.99,16,4368,2.233,0.000,0.0,100.0
As Ks Kh Jd Jc,Two Pair,1,41.29,15,3003,2.217,0.016,31.2,28.7
As Ks Kh Jd Jc,Two Pair,2,45.18,14,2002,2.197,0.036,33.5,16.2
As Ks Kh Jd Jc,Two Pair,3,45.84,13,1287,2.172,0.061,40.9,12.0
As Ks Kh Jd Jc,Two Pair,4,46.92,12,792,2.139,0.094,48.4,9.5
As Ks Kh Jd Jc,Two Pair,5,49.26,11,462,2.095,0.138,55.6,7.0
As Ks Kh Jd Tc,Pair,0,25.96,16,4368,2.193,0.000,0.0,0.0
As Ks Kh Jd Tc,Pair,1,40.37,15,3003,2.177,0.016,21.2,22.5
As Ks Kh Jd Tc,Pair,2,43.24,14,2002,2.158,0.034,34.0,17.0
As Ks Kh Jd Tc,Pair,3,46.04,13,1287,2.134,0.058,39.7,15.8
As Ks Kh Jd Tc,Pair,4,48.12,12,792,2.104,0.089,44.6,12.3
As Ks Kh Jd Tc,Pair,5,49.09,11,462,2.062,0.130,53.7,8.1
As Ks Kh Jd Td,Pair,0,25.96,16,4368,2.199,0.000,0.0,0.0
As Ks Kh Jd Td,Pair,1,40.37,15,3003,2.183,0.016,21.2,22.5
As Ks Kh Jd Td,Pair,2,43.23,14,2002,2.164,0.035,34.0,17.0
As Ks Kh Jd Td,Pair,3,46.04,13,1287,2.140,0.059,39.8,15.8
As Ks Kh Jd Td,Pair,4,48.10,12,792,2.109,0.090,44.6,12.3
As Ks Kh Jd Td,Pair,5,49.10,11,462,2.067,0.132,53.7,8.1
As Ks Kh Jd Th,Pair,0,25.96,16,4368,2.199,0.000,0.0,0.0
As Ks Kh Jd Th,Pair,1,40.37,15,3003,2.183,0.016,21.2,22.5
As Ks Kh Jd Th,Pair,2,43.23,14,2002,2.164,0.035,34.0,17.0
As Ks Kh Jd Th,Pair,3,46.05,13,1287,2.140,0.059,39.8,15.8
As Ks Kh Jd Th,Pair,4,48.10,12,792,2.109,0.090,44.6,12.3
As Ks Kh Jd Th,Pair,5,49.10,11,462,2.067,0.131,53.7,8.1
As Ks Kh Jd Ts,Pair,0,25.96,16,4368,2.200,0.000,0.0,0.0
As Ks Kh Jd Ts,Pair,1,40.37,15,3003,2.185,0.016,21.2,22.5
As Ks Kh Jd Ts,Pair,2,43.27,14,2002,2.166,0.035,34.1,17.0
As Ks Kh Jd Ts,Pair,3,46.03,13,1287,2.142,0.059,39.7,15.8
As Ks Kh Jd Ts,Pair,4,48.11,12,792,2.111,0.090,44.6,12.3
As Ks Kh Jd Ts,Pair,5,49.10,11,462,2.069,0.131,53.7,8.1
As Ks Kh Jd W,Three of a Kind,0,88.32,16,4368,1.849,0.000,100.0,0.0
As Ks Kh Jd W,Three of a Kind,1,89.90,15,3003,1.845,0.004,100.0,0.0
As Ks Kh Jd W,Three of a Kind,2,89.17,14,2002,1.839,0.010,95.8,0.0
As Ks Kh Jd W,Three of a Kind,3,88.59,13,1287,1.829,0.021,87.9,0.0
As Ks Kh Jd W,Three of a Kind,4,87.96,12,792,1.813,0.036,86.2,0.0
As Ks Kh Jh Jc,Two Pair,0,42.99,16,4368,2.239,0.000,0.0,100.0
As Ks Kh Jh Jc,Two Pair,1,41.29,15,3003,2.223,0.016,31.2,28.7
As Ks Kh Jh Jc,Two Pair,2,45.18,14,2002,2.203,0.036,33.5,16.2
As Ks Kh Jh Jc,Two Pair,3,45.84,13,1287,2.177,0.062,41.0,12.0
As Ks Kh Jh Jc,Two Pair,4,46.90,12,792,2.144,0.095,48.3,9.5
As Ks Kh Jh Jc,Two Pair,5,49.27,11,462,2.100,0.139,55.7,7.0
As Ks Kh Jh Jd,Two Pair,0,42.99,16,4368,2.239,0.000,0.0,100.0
As Ks Kh Jh Jd,Two Pair,1,41.29,15,3003,2.223,0.016,31.2,28.7
As Ks Kh Jh Jd,Two Pair,2,45.18,14,2002,2.203,0.036,33.5,16.2
As Ks Kh Jh Jd,Two Pair,3,45.84,13,1287,2.177,0.062,41.0,12.0
As Ks Kh Jh Jd,Two Pair,4,46.90,12,792,2.144,0.095,48.3,9.5
As Ks Kh Jh Jd,Two Pair,5,49.27,11,462,2.100,0.139,55.7,7.0
As Ks Kh Jh Tc,Pair,0,25.96,16,4368,2.199,0.000,0.0,0.0
As Ks Kh Jh Tc,Pair,1,40.37,15,3003,2.183,0.016,21.2,22.5
As Ks Kh Jh Tc,Pair,2,43.23,14,2002,2.164,0.035,34.0,17.0
As Ks Kh Jh Tc,Pair,3,46.05,13,1287,2.140,0.059,39.8,15.8
As Ks Kh Jh Tc,Pair,4,48.10,12,792,2.109,0.090,44.6,12.3
As Ks Kh Jh Tc,Pair,5,49.10,11,462,2.067,0.131,53.7,8.1
As Ks Kh Jh Td,Pair,0,25.96,16,4368,2.199,0.000,0.0,0.0
As Ks Kh Jh Td,Pair,1,40.37,15,3003,2.183,0.016,21.2,22.5
As Ks Kh Jh Td,Pair,2,43.23,14,2002,2.164,0.035,34.0,17.0
As Ks Kh Jh Td,Pair,3,46.05,13,1287,2.140,0.059,39.8,15.8
As Ks Kh Jh Td,Pair,4,48.10,12,792,2.109,0.090,44.6,12.3
As Ks Kh Jh Td,Pair,5,49.10,11,462,2.067,0.131,53.7,8.1
As Ks Kh Jh Th,Pair,0,25.96,16,4368,2.206,0.000,0.0,0.0
As Ks Kh Jh Th,Pair,1,40.37,15,3003,2.190,0.016,21.2,22.5
As Ks Kh Jh Th,Pair,2,43.27,14,2002,2.171,0.035,34.1,17.0
As Ks Kh Jh Th,Pair,3,46.04,13,1287,2.147,0.059,39.7,15.8
As Ks Kh Jh Th,Pair,4,48.09,12,792,2.116,0.090,44.6,12.3
As Ks Kh Jh Th,Pair,5,49.11,11,462,2.074,0.132,53.7,8.1
As Ks Kh Jh Ts,Pair,0,25.96,16,4368,2.206,0.000,0.0,0.0
As Ks Kh Jh Ts,Pair,1,40.37,15,3003,2.190,0.016,21.2,22.5
As Ks Kh Jh Ts,Pair,2,43.27,14,2002,2.171,0.035,34.1,17.0
As Ks Kh Jh Ts,Pair,3,46.04,13,1287,2.147,0.059,39.7,15.8
As Ks Kh Jh Ts,Pair,4,48.09,12,792,2.116,0.090,44.6,12.3
As Ks Kh Jh Ts,Pair,5,49.11,11,462,2.074,0.132,53.7,8.1
As Ks Kh Jh W,Three of a Kind,0,88.32,16,4368,1.851,0.000,100.0,0.0
As Ks Kh Jh W,Three of a Kind,1,89.90,15,3003,1.847,0.004,100.0,0.0
As Ks Kh Jh W,Three of a Kind,2,89.21,14,2002,1.841,0.010,95.8,0.0
As Ks Kh Jh W,Three of a Kind,3,88.56,13,1287,1.830,0.021,87.9,0.0
As Ks Kh Jh W,Three of a Kind,4,87.97,12,792,1.815,0.036,86.2,0.0
As Ks Kh Js Jc,Two Pair,0,42.99,16,4368,2.241,0.000,0.0,100.0
As Ks Kh Js Jc,Two Pair,1,41.29,15,3003,2.224,0.016,31.2,28.7
As Ks Kh Js Jc,Two Pair,2,45.21,14,2002,2.204,0.036,33.6,16.2
As Ks Kh Js Jc,Two Pair,3,45.83,13,1287,2.179,0.062,40.9,12.0
As Ks Kh Js Jc,Two Pair,4,46.91,12,792,2.146,0.095,48.4,9.5
As Ks Kh Js Jc,Two Pair,5,49.27,11,462,2.101,0.139,55.7,7.0
As Ks Kh Js Jd,Two Pair,0,42.99,16,4368,2.241,0.000,0.0,100.0
As Ks Kh Js Jd,Two Pair,1,41.29,15,3003,2.224,0.016,31.2,28.7
As Ks Kh Js Jd,Two Pair,2,45.21,14,2002,2.204,0.036,33.6,16.2
As Ks Kh Js Jd,Two Pair,3,45.83,13,1287,2.179,0.062,40.9,12.0
As Ks Kh Js Jd,Two Pair,4,46.91,12,792,2.146,0.095,48.4,9.5
As Ks Kh Js Jd,Two Pair,5,49.27,11,462,2.101,0.139,55.7,7.0
As Ks Kh Js Jh,Two Pair,0,42.99,16,4368,2.246,0.000,0.0,100.0
As Ks Kh Js Jh,Two Pair,1,41.28,15,3003,2.230,0.016,31.2,28.7
As Ks Kh Js Jh,Two Pair,2,45.21,14,2002,2.210,0.036,33.6,16.2
As Ks Kh Js Jh,Two Pair,3,45.84,13,1287,2.184,0.062,40.9,12.0
As Ks Kh Js Jh,Two Pair,4,46.89,12,792,2.151,0.095,48.3,9.5
As Ks Kh Js Jh,Two Pair,5,49.28,11,462,2.106,0.140,55.7,7.0
As Ks Kh Js Tc,Pair,0,25.96,16,4368,2.200,0.000,0.0,0.0
As Ks Kh Js Tc,Pair,1,40.37,15,3003,2.185,0.016,21.2,22.5
As Ks Kh Js Tc,Pair,2,43.27,14,2002,2.166,0.035,34.1,17.0
As Ks Kh Js Tc,Pair,3,46.03,13,1287,2.142,0.059,39.7,15.8
As Ks Kh Js Tc,Pair,4,48.11,12,792,2.111,0.090,44.6,12.3
As Ks Kh Js Tc,Pair,5,49.10,11,462,2.069,0.131,53.7,8.1
As Ks Kh Js Td,Pair,0,25.96,16,4368,2.200,0.000,0.0,0.0
As Ks Kh Js Td,Pair,1,40.37,15,3003,2.185,0.016,21.2,22.5
As Ks Kh Js Td,Pair,2,43.27,14,2002,2.166,0.035,34.1,17.0
As Ks Kh Js Td,Pair,3,46.03,13,1287,2.142,0.059,39.7,15.8
As Ks Kh Js Td,Pair,4,48.11,12,792,2.111,0.090,44.6,12.3
As Ks Kh Js Td,Pair,5,49.10,11,462,2.069,0.131,53.7,8.1
As Ks Kh Js Th,Pair,0,25.96,16,4368,2.206,0.000,0.0,0.0
As Ks Kh Js Th,Pair,1,40.37,15,3003,2.190,0.016,21.2,22.5
As Ks Kh Js Th,Pair,2,43.27,14,2002,2.171,0.035,34.1,17.0
As Ks Kh Js Th,Pair,3,46.04,13,1287,2.147,0.059,39.7,15.8
As Ks Kh Js Th,Pair,4,48.09,12,792,2.116,0.090,44.6,12.3
As Ks Kh Js Th,Pair,5,49.11,11,462,2.074,0.132,53.7,8.1
As Ks Kh Js Ts,Pair,0,25.96,16,4368,2.207,0.000,0.0,0.0
As Ks Kh Js Ts,Pair,1,40.74,15,3003,2.191,0.016,22.5,22.5
As Ks Kh Js Ts,Pair,2,43.26,14,2002,2.172,0.035,34.0,17.0
As Ks Kh Js Ts,Pair,3,46.02,13,1287,2.148,0.059,39.7,15.8
As Ks Kh Js Ts,Pair,4,48.10,12,792,2.117,0.090,44.6,12.3
As Ks Kh Js Ts,Pair,5,49.11,11,462,2.076,0.131,53.7,8.1
As Ks Kh Js W,Three of a Kind,0,88.32,16,4368,1.851,0.000,100.0,0.0
As Ks Kh Js W,Three of a Kind,1,90.22,15,3003,1.847,0.004,100.0,0.0
As Ks Kh Js W,Three of a Kind,2,89.17,14,2002,1.841,0.010,95.8,0.0
As Ks Kh Js W,Three of a Kind,3,88.56,13,1287,1.830,0.021,87.9,0.0
As Ks Kh Js W,Three of a Kind,4,87.98,12,792,1.815,0.036,86.2,0.0
As Ks Kh Kc Jc,Three of a Kind,0,76.21,16,4368,2.257,0.000,0.0,0.0
As Ks Kh Kc Jc,Three of a Kind,1,56.32,15,3003,2.239,0.017,16.2,11.2
As Ks Kh Kc Jc,Three of a Kind,2,49.54,14,2002,2.218,0.039,31.7,15.0
As Ks Kh Kc Jc,Three of a Kind,3,46.16,13,1287,2.192,0.065,39.2,12.1
As Ks Kh Kc Jc,Three of a Kind,4,46.30,12,792,2.158,0.098,48.8,8.4
As Ks Kh Kc Jc,Three of a Kind,5,49.61,11,462,2.114,0.143,57.7,7.0
As Ks Kh Kc Jd,Three of a Kind,0,76.21,16,4368,2.251,0.000,0.0,0.0
As Ks Kh Kc Jd,Three of a Kind,1,56.33,15,3003,2.233,0.017,16.2,11.2
As Ks Kh Kc Jd,Three of a Kind,2,49.55,14,2002,2.212,0.038,31.7,15.0
As Ks Kh Kc Jd,Three of a Kind,3,46.16,13,1287,2.186,0.064,39.2,12.1
As Ks Kh Kc Jd,Three of a Kind,4,46.31,12,792,2.153,0.098,48.8,8.4
As Ks Kh Kc Jd,Three of a Kind,5,49.61,11,462,2.109,0.142,57.7,7.0
As Ks Kh Kc Jh,Three of a Kind,0,76.21,16,4368,2.257,0.000,0.0,0.0
As Ks Kh Kc Jh,Three of a Kind,1,56.32,15,3003,2.239,0.017,16.2,11.2
As Ks Kh Kc Jh,Three of a Kind,2,49.54,14,2002,2.218,0.039,31.7,15.0
As Ks Kh Kc Jh,Three of a Kind,3,46.16,13,1287,2.192,0.065,39.2,12.1
As Ks Kh Kc Jh,Three of a Kind,4,46.30,12,792,2.158,0.098,48.8,8.4
As Ks Kh Kc Jh,Three of a Kind,5,49.61,11,462,2.114,0.143,57.7,7.0
As Ks Kh Kc Js,Three of a Kind,0,76.21,16,4368,2.258,0.000,0.0,0.0
As Ks Kh Kc Js,Three of a Kind,1,56.32,15,3003,2.241,0.017,16.2,11.2
As Ks Kh Kc Js,Three of a Kind,2,49.57,14,2002,2.220,0.038,31.7,15.0
As Ks Kh Kc Js,Three of a Kind,3,46.15,13,1287,2.193,0.065,39.2,12.1
As Ks Kh Kc Js,Three of a Kind,4,46.30,12,792,2.160,0.098,48.8,8.4
As Ks Kh Kc Js,Three of a Kind,5,49.61,11,462,2.115,0.142,57.7,7.0
As Ks Kh Kc Qc,Three of a Kind,0,76.21,16,4368,2.257,0.000,0.0,0.0
As Ks Kh Kc Qc,Three of a Kind,1,56.32,15,3003,2.239,0.017,16.2,11.2
As Ks Kh Kc Qc,Three of a Kind,2,50.26,14,2002,2.218,0.039,27.2,14.2
As Ks Kh Kc Qc,Three of a Kind,3,47.14,13,1287,2.192,0.065,40.1,11.1
As Ks Kh Kc Qc,Three of a Kind,4,46.72,12,792,2.158,0.098,51.3,8.4
As Ks Kh Kc Qc,Three of a Kind,5,49.61,11,462,2.114,0.143,60.3,9.0
As Ks Kh Kc Qd,Three of a Kind,0,76.21,16,4368,2.251,0.000,0.0,0.0
As Ks Kh Kc Qd,Three of a Kind,1,56.33,15,3003,2.233,0.017,16.2,11.2
As Ks Kh Kc Qd,Three of a Kind,2,50.27,14,2002,2.212,0.038,27.2,14.2
As Ks Kh Kc Qd,Three of a Kind,3,47.13,13,1287,2.186,0.064,40.1,11.1
As Ks Kh Kc Qd,Three of a Kind,4,46.73,12,792,2.153,0.098,51.3,8.4
As Ks Kh Kc Qd,Three of a Kind,5,49.61,11,462,2.109,0.142,60.3,9.0
As Ks Kh Kc Qh,Three of a Kind,0,76.21,16,4368,2.257,0.000,0.0,0.0
As Ks Kh Kc Qh,Three of a Kind,1,56.32,15,3003,2.239,0.017,16.2,11.2
As Ks Kh Kc Qh,Three of a Kind,2,50.26,14,2002,2.218,0.039,27.2,14.2
As Ks Kh Kc Qh,Three of a Kind,3,47.14,13,1287,2.192,0.065,40.1,11.1
As Ks Kh Kc Qh,Three of a Kind,4,46.72,12,792,2.158,0.098,51.3,8.4
As Ks Kh Kc Qh,Three of a Kind,5,49.61,11,462,2.114,0.143,60.3,9.0
As Ks Kh Kc Qs,Three of a Kind,0,76.21,16,4368,2.258,0.000,0.0,0.0
As Ks Kh Kc Qs,Three of a Kind,1,56.32,15,3003,2.241,0.017,16.2,11.2
As Ks Kh Kc Qs,Three of a Kind,2,50.29,14,2002,2.220,0.038,27.2,14.2
As Ks Kh Kc Qs,Three of a Kind,3,47.13,13,1287,2.193,0.065,40.1,11.1
As Ks Kh Kc Qs,Three of a Kind,4,46.72,12,792,2.160,0.098,51.3,8.4
As Ks Kh Kc Qs,Three of a Kind,5,49.61,11,462,2.115,0.142,60.3,9.0
As Ks Kh Kc Tc,Three of a Kind,0,76.21,16,4368,2.257,0.000,0.0,0.0
As Ks Kh Kc Tc,Three of a Kind,1,56.32,15,3003,2.239,0.017,16.2,11.2
As Ks Kh Kc Tc,Three of a Kind,2,48.84,14,2002,2.218,0.039,30.9,15.0
As Ks Kh Kc Tc,Three of a Kind,3,45.20,13,1287,2.192,0.065,39.3,12.8
As Ks Kh Kc Tc,Three of a Kind,4,45.89,12,792,2.158,0.098,48.5,8.1
As Ks Kh Kc Tc,Three of a Kind,5,49.61,11,462,2.114,0.143,55.9,7.3
As Ks Kh Kc Td,Three of a Kind,0,76.21,16,4368,2.251,0.000,0.0,0.0
As Ks Kh Kc Td,Three of a Kind,1,56.33,15,3003,2.233,0.017,16.2,11.2
As Ks Kh Kc Td,Three of a Kind,2,48.84,14,2002,2.212,0.038,30.9,15.0
As Ks Kh Kc Td,Three of a Kind,3,45.19,13,1287,2.186,0.064,39.3,12.8
As Ks Kh Kc Td,Three of a Kind,4,45.90,12,792,2.153,0.098,48.5,8.1
As Ks Kh Kc Td,Three of a Kind,5,49.61,11,462,2.109,0.142,55.9,7.3
As Ks Kh Kc Th,Three of a Kind,0,76.21,16,4368,2.257,0.000,0.0,0.0
As Ks Kh Kc Th,Three of a Kind,1,56.32,15,3003,2.239,0.017,16.2,11.2
As Ks Kh Kc Th,Three of a Kind,2,48.84,14,2002,2.218,0.039,30.9,15.0
As Ks Kh Kc Th,Three of a Kind,3,45.20,13,1287,2.192,0.065,39.3,12.8
As Ks Kh Kc Th,Three of a Kind,4,45.89,12,792,2.158,0.098,48.5,8.1
As Ks Kh Kc Th,Three of a Kind,5,49.61,11,462,2.114,0.143,55.9,7.3
As Ks Kh Kc Ts,Three of a Kind,0,76.21,16,4368,2.258,0.000,0.0,0.0
