Hand,Hand Type,Pre-Discard Win %,Optimal Discard,Optimal Win %,Delta %,P(Improve),Risk Ratio,Verdict
Kd Js Th Td W,Three of a Kind,77.20,Js Th Td,87.50,10.30,40.18,2.78,Discard Js Th Td
Kh Jc Th Td W,Three of a Kind,77.20,Jc Th Td,87.50,10.30,40.18,2.78,Discard Jc Th Td
Kh Jc Ts Th W,Three of a Kind,77.20,Jc Ts Th,87.50,10.30,40.18,2.78,Discard Jc Ts Th
Kh Jd Th Tc W,Three of a Kind,77.20,Jd Th Tc,87.50,10.30,40.18,2.78,Discard Jd Th Tc
Kh Jd Ts Th W,Three of a Kind,77.20,Jd Ts Th,87.50,10.30,40.18,2.78,Discard Jd Ts Th
Kh Js Th Tc W,Three of a Kind,77.20,Js Th Tc,87.50,10.30,40.18,2.78,Discard Js Th Tc
Kh Js Th Td W,Three of a Kind,77.20,Js Th Td,87.50,10.30,40.18,2.78,Discard Js Th Td
Ks Jc Ts Td W,Three of a Kind,77.20,Jc Ts Td,87.50,10.30,40.18,2.78,Discard Jc Ts Td
Ks Jc Ts Th W,Three of a Kind,77.20,Jc Ts Th,87.50,10.30,40.18,2.78,Discard Jc Ts Th
Ks Jd Ts Tc W,Three of a Kind,77.20,Jd Ts Tc,87.50,10.30,40.18,2.78,Discard Jd Ts Tc
Ks Jd Ts Th W,Three of a Kind,77.20,Jd Ts Th,87.50,10.30,40.18,2.78,Discard Jd Ts Th
Ks Jh Ts Tc W,Three of a Kind,77.20,Jh Ts Tc,87.50,10.30,40.18,2.78,Discard Jh Ts Tc
Ks Jh Ts Td W,Three of a Kind,77.20,Jh Ts Td,87.50,10.30,40.18,2.78,Discard Jh Ts Td
Kc Jc Th Td W,Three of a Kind,77.20,Jc Th Td,87.50,10.30,40.18,2.78,Discard Jc Th Td
Kc Jc Ts Td W,Three of a Kind,77.20,Jc Ts Td,87.50,10.30,40.18,2.78,Discard Jc Ts Td
Kc Jc Ts Th W,Three of a Kind,77.20,Jc Ts Th,87.50,10.30,40.18,2.78,Discard Jc Ts Th
Kd Jd Th Tc W,Three of a Kind,77.20,Jd Th Tc,87.50,10.30,40.18,2.78,Discard Jd Th Tc
Kd Jd Ts Tc W,Three of a Kind,77.20,Jd Ts Tc,87.50,10.30,40.18,2.78,Discard Jd Ts Tc
Kd Jd Ts Th W,Three of a Kind,77.20,Jd Ts Th,87.50,10.30,40.18,2.78,Discard Jd Ts Th
Kh Jh Td Tc W,Three of a Kind,77.20,Jh Td Tc,87.50,10.30,40.18,2.78,Discard Jh Td Tc
Kh Jh Ts Tc W,Three of a Kind,77.20,Jh Ts Tc,87.50,10.30,40.18,2.78,Discard Jh Ts Tc
Kh Jh Ts Td W,Three of a Kind,77.20,Jh Ts Td,87.50,10.30,40.18,2.78,Discard Jh Ts Td
Ks Js Td Tc W,Three of a Kind,77.20,Js Td Tc,87.50,10.30,40.18,2.78,Discard Js Td Tc
Ks Js Th Tc W,Three of a Kind,77.20,Js Th Tc,87.50,10.30,40.18,2.78,Discard Js Th Tc
Ks Js Th Td W,Three of a Kind,77.20,Js Th Td,87.50,10.30,40.18,2.78,Discard Js Th Td
Kc Jd Td Tc W,Three of a Kind,77.20,Jd Td Tc,87.50,10.30,40.18,2.78,Discard Jd Td Tc
Kc Jh Th Tc W,Three of a Kind,77.20,Jh Th Tc,87.50,10.30,40.18,2.78,Discard Jh Th Tc
Kc Js Ts Tc W,Three of a Kind,77.20,Js Ts Tc,87.50,10.30,40.18,2.78,Discard Js Ts Tc
Kd Jc Td Tc W,Three of a Kind,77.20,Jc Td Tc,87.50,10.30,40.18,2.78,Discard Jc Td Tc
Kd Jh Th Td W,Three of a Kind,77.20,Jh Th Td,87.50,10.30,40.18,2.78,Discard Jh Th Td
Kd Js Ts Td W,Three of a Kind,77.20,Js Ts Td,87.50,10.30,40.18,2.78,Discard Js Ts Td
Kh Jc Th Tc W,Three of a Kind,77.20,Jc Th Tc,87.50,10.30,40.18,2.78,Discard Jc Th Tc
Kh Jd Th Td W,Three of a Kind,77.20,Jd Th Td,87.50,10.30,40.18,2.78,Discard Jd Th Td
Kh Js Ts Th W,Three of a Kind,77.20,Js Ts Th,87.50,10.30,40.18,2.78,Discard Js Ts Th
Ks Jc Ts Tc W,Three of a Kind,77.20,Jc Ts Tc,87.50,10.30,40.18,2.78,Discard Jc Ts Tc
Ks Jd Ts Td W,Three of a Kind,77.20,Jd Ts Td,87.50,10.30,40.18,2.78,Discard Jd Ts Td
Ks Jh Ts Th W,Three of a Kind,77.20,Jh Ts Th,87.50,10.30,40.18,2.78,Discard Jh Ts Th
Kc Jc Td Tc W,Three of a Kind,77.20,Jc Td Tc,87.48,10.28,40.18,2.78,Discard Jc Td Tc
Kc Jc Th Tc W,Three of a Kind,77.20,Jc Th Tc,87.48,10.28,40.18,2.78,Discard Jc Th Tc
Kc Jc Ts Tc W,Three of a Kind,77.20,Jc Ts Tc,87.48,10.28,40.18,2.78,Discard Jc Ts Tc
Kd Jd Td Tc W,Three of a Kind,77.20,Jd Td Tc,87.48,10.28,40.18,2.78,Discard Jd Td Tc
Kd Jd Th Td W,Three of a Kind,77.20,Jd Th Td,87.48,10.28,40.18,2.78,Discard Jd Th Td
Kd Jd Ts Td W,Three of a Kind,77.20,Jd Ts Td,87.48,10.28,40.18,2.78,Discard Jd Ts Td
Kh Jh Th Tc W,Three of a Kind,77.20,Jh Th Tc,87.48,10.28,40.18,2.78,Discard Jh Th Tc
Kh Jh Th Td W,Three of a Kind,77.20,Jh Th Td,87.48,10.28,40.18,2.78,Discard Jh Th Td
Kh Jh Ts Th W,Three of a Kind,77.20,Jh Ts Th,87.48,10.28,40.18,2.78,Discard Jh Ts Th
Ks Js Ts Tc W,Three of a Kind,77.20,Js Ts Tc,87.48,10.28,40.18,2.78,Discard Js Ts Tc
Ks Js Ts Td W,Three of a Kind,77.20,Js Ts Td,87.48,10.28,40.18,2.78,Discard Js Ts Td
Ks Js Ts Th W,Three of a Kind,77.20,Js Ts Th,87.48,10.28,40.18,2.78,Discard Js Ts Th
Qc Jh Jd Ts W,Three of a Kind,78.62,Qc Ts,86.86,8.24,39.17,5.36,Discard Qc Ts
Qc Js Jd Th W,Three of a Kind,78.62,Qc Th,86.86,8.24,39.17,5.36,Discard Qc Th
Qc Js Jh Td W,Three of a Kind,78.62,Qc Td,86.86,8.24,39.17,5.36,Discard Qc Td
Qd Jh Jc Ts W,Three of a Kind,78.62,Qd Ts,86.86,8.24,39.17,5.36,Discard Qd Ts
Qd Js Jc Th W,Three of a Kind,78.62,Qd Th,86.86,8.24,39.17,5.36,Discard Qd Th
Qd Js Jh Tc W,Three of a Kind,78.62,Qd Tc,86.86,8.24,39.17,5.36,Discard Qd Tc
Qh Jd Jc Ts W,Three of a Kind,78.62,Qh Ts,86.86,8.24,39.17,5.36,Discard Qh Ts
Qh Js Jc Td W,Three of a Kind,78.62,Qh Td,86.86,8.24,39.17,5.36,Discard Qh Td
Qh Js Jd Tc W,Three of a Kind,78.62,Qh Tc,86.86,8.24,39.17,5.36,Discard Qh Tc
Qs Jd Jc Th W,Three of a Kind,78.62,Qs Th,86.86,8.24,39.17,5.36,Discard Qs Th
Qs Jh Jc Td W,Three of a Kind,78.62,Qs Td,86.86,8.24,39.17,5.36,Discard Qs Td
Qs Jh Jd Tc W,Three of a Kind,78.62,Qs Tc,86.86,8.24,39.17,5.36,Discard Qs Tc
Qc Jd Jc Th W,Three of a Kind,78.62,Qc Th,86.85,8.23,39.17,5.36,Discard Qc Th
Qc Jd Jc Ts W,Three of a Kind,78.62,Qc Ts,86.85,8.23,39.17,5.36,Discard Qc Ts
Qc Jh Jc Td W,Three of a Kind,78.62,Qc Td,86.85,8.23,39.17,5.36,Discard Qc Td
Qc Jh Jc Ts W,Three of a Kind,78.62,Qc Ts,86.85,8.23,39.17,5.36,Discard Qc Ts
Qc Jh Jd Tc W,Three of a Kind,78.62,Qc Tc,86.85,8.23,39.17,5.36,Discard Qc Tc
Qc Jh Jd Td W,Three of a Kind,78.62,Qc Td,86.85,8.23,39.17,5.36,Discard Qc Td
Qc Jh Jd Th W,Three of a Kind,78.62,Qc Th,86.85,8.23,39.17,5.36,Discard Qc Th
Qc Js Jc Td W,Three of a Kind,78.62,Qc Td,86.85,8.23,39.17,5.36,Discard Qc Td
Qc Js Jc Th W,Three of a Kind,78.62,Qc Th,86.85,8.23,39.17,5.36,Discard Qc Th
Qc Js Jd Tc W,Three of a Kind,78.62,Qc Tc,86.85,8.23,39.17,5.36,Discard Qc Tc
Qc Js Jd Td W,Three of a Kind,78.62,Qc Td,86.85,8.23,39.17,5.36,Discard Qc Td
Qc Js Jd Ts W,Three of a Kind,78.62,Qc Ts,86.85,8.23,39.17,5.36,Discard Qc Ts
Qc Js Jh Tc W,Three of a Kind,78.62,Qc Tc,86.85,8.23,39.17,5.36,Discard Qc Tc
Qc Js Jh Th W,Three of a Kind,78.62,Qc Th,86.85,8.23,39.17,5.36,Discard Qc Th
Qc Js Jh Ts W,Three of a Kind,78.62,Qc Ts,86.85,8.23,39.17,5.36,Discard Qc Ts
Qd Jd Jc Th W,Three of a Kind,78.62,Qd Th,86.85,8.23,39.17,5.36,Discard Qd Th
Qd Jd Jc Ts W,Three of a Kind,78.62,Qd Ts,86.85,8.23,39.17,5.36,Discard Qd Ts
Qd Jh Jc Tc W,Three of a Kind,78.62,Qd Tc,86.85,8.23,39.17,5.36,Discard Qd Tc
Qd Jh Jc Td W,Three of a Kind,78.62,Qd Td,86.85,8.23,39.17,5.36,Discard Qd Td
Qd Jh Jc Th W,Three of a Kind,78.62,Qd Th,86.85,8.23,39.17,5.36,Discard Qd Th
Qd Jh Jd Tc W,Three of a Kind,78.62,Qd Tc,86.85,8.23,39.17,5.36,Discard Qd Tc
Qd Jh Jd Ts W,Three of a Kind,78.62,Qd Ts,86.85,8.23,39.17,5.36,Discard Qd Ts
Qd Js Jc Tc W,Three of a Kind,78.62,Qd Tc,86.85,8.23,39.17,5.36,Discard Qd Tc
Qd Js Jc Td W,Three of a Kind,78.62,Qd Td,86.85,8.23,39.17,5.36,Discard Qd Td
Qd Js Jc Ts W,Three of a Kind,78.62,Qd Ts,86.85,8.23,39.17,5.36,Discard Qd Ts
Qd Js Jd Tc W,Three of a Kind,78.62,Qd Tc,86.85,8.23,39.17,5.36,Discard Qd Tc
Qd Js Jd Th W,Three of a Kind,78.62,Qd Th,86.85,8.23,39.17,5.36,Discard Qd Th
Qd Js Jh Td W,Three of a Kind,78.62,Qd Td,86.85,8.23,39.17,5.36,Discard Qd Td
Qd Js Jh Th W,Three of a Kind,78.62,Qd Th,86.85,8.23,39.17,5.36,Discard Qd Th
Qd Js Jh Ts W,Three of a Kind,78.62,Qd Ts,86.85,8.23,39.17,5.36,Discard Qd Ts
Qh Jd Jc Tc W,Three of a Kind,78.62,Qh Tc,86.85,8.23,39.17,5.36,Discard Qh Tc
Qh Jd Jc Td W,Three of a Kind,78.62,Qh Td,86.85,8.23,39.17,5.36,Discard Qh Td
Qh Jd Jc Th W,Three of a Kind,78.62,Qh Th,86.85,8.23,39.17,5.36,Discard Qh Th
Qh Jh Jc Td W,Three of a Kind,78.62,Qh Td,86.85,8.23,39.17,5.36,Discard Qh Td
Qh Jh Jc Ts W,Three of a Kind,78.62,Qh Ts,86.85,8.23,39.17,5.36,Discard Qh Ts
Qh Jh Jd Tc W,Three of a Kind,78.62,Qh Tc,86.85,8.23,39.17,5.36,Discard Qh Tc
Qh Jh Jd Ts W,Three of a Kind,78.62,Qh Ts,86.85,8.23,39.17,5.36,Discard Qh Ts
Qh Js Jc Tc W,Three of a Kind,78.62,Qh Tc,86.85,8.23,39.17,5.36,Discard Qh Tc
Qh Js Jc Th W,Three of a Kind,78.62,Qh Th,86.85,8.23,39.17,5.36,Discard Qh Th
Qh Js Jc Ts W,Three of a Kind,78.62,Qh Ts,86.85,8.23,39.17,5.36,Discard Qh Ts
Qh Js Jd Td W,Three of a Kind,78.62,Qh Td,86.85,8.23,39.17,5.36,Discard Qh Td
Qh Js Jd Th W,Three of a Kind,78.62,Qh Th,86.85,8.23,39.17,5.36,Discard Qh Th
Qh Js Jd Ts W,Three of a Kind,78.62,Qh Ts,86.85,8.23,39.17,5.36,Discard Qh Ts
Qh Js Jh Tc W,Three of a Kind,78.62,Qh Tc,86.85,8.23,39.17,5.36,Discard Qh Tc
Qh Js Jh Td W,Three of a Kind,78.62,Qh Td,86.85,8.23,39.17,5.36,Discard Qh Td
Qs Jd Jc Tc W,Three of a Kind,78.62,Qs Tc,86.85,8.23,39.17,5.36,Discard Qs Tc
Qs Jd Jc Td W,Three of a Kind,78.62,Qs Td,86.85,8.23,39.17,5.36,Discard Qs Td
Qs Jd Jc Ts W,Three of a Kind,78.62,Qs Ts,86.85,8.23,39.17,5.36,Discard Qs Ts
Qs Jh Jc Tc W,Three of a Kind,78.62,Qs Tc,86.85,8.23,39.17,5.36,Discard Qs Tc
Qs Jh Jc Th W,Three of a Kind,78.62,Qs Th,86.85,8.23,39.17,5.36,Discard Qs Th
Qs Jh Jc Ts W,Three of a Kind,78.62,Qs Ts,86.85,8.23,39.17,5.36,Discard Qs Ts
Qs Jh Jd Td W,Three of a Kind,78.62,Qs Td,86.85,8.23,39.17,5.36,Discard Qs Td
Qs Jh Jd Th W,Three of a Kind,78.62,Qs Th,86.85,8.23,39.17,5.36,Discard Qs Th
Qs Jh Jd Ts W,Three of a Kind,78.62,Qs Ts,86.85,8.23,39.17,5.36,Discard Qs Ts
Qs Js Jc Td W,Three of a Kind,78.62,Qs Td,86.85,8.23,39.17,5.36,Discard Qs Td
Qs Js Jc Th W,Three of a Kind,78.62,Qs Th,86.85,8.23,39.17,5.36,Discard Qs Th
Qs Js Jd Tc W,Three of a Kind,78.62,Qs Tc,86.85,8.23,39.17,5.36,Discard Qs Tc
Qs Js Jd Th W,Three of a Kind,78.62,Qs Th,86.85,8.23,39.17,5.36,Discard Qs Th
Qs Js Jh Tc W,Three of a Kind,78.62,Qs Tc,86.85,8.23,39.17,5.36,Discard Qs Tc
Qs Js Jh Td W,Three of a Kind,78.62,Qs Td,86.85,8.23,39.17,5.36,Discard Qs Td
Qc Jd Jc Tc W,Three of a Kind,78.62,Qc Tc,86.84,8.23,39.17,5.36,Discard Qc Tc
Qc Jd Jc Td W,Three of a Kind,78.62,Qc Td,86.84,8.23,39.17,5.36,Discard Qc Td
Qc Jh Jc Tc W,Three of a Kind,78.62,Qc Tc,86.84,8.23,39.17,5.36,Discard Qc Tc
Qc Jh Jc Th W,Three of a Kind,78.62,Qc Th,86.84,8.23,39.17,5.36,Discard Qc Th
Qc Js Jc Tc W,Three of a Kind,78.62,Qc Tc,86.84,8.23,39.17,5.36,Discard Qc Tc
Qc Js Jc Ts W,Three of a Kind,78.62,Qc Ts,86.84,8.23,39.17,5.36,Discard Qc Ts
Qd Jd Jc Tc W,Three of a Kind,78.62,Qd Tc,86.84,8.23,39.17,5.36,Discard Qd Tc
Qd Jd Jc Td W,Three of a Kind,78.62,Qd Td,86.84,8.23,39.17,5.36,Discard Qd Td
Qd Jh Jd Td W,Three of a Kind,78.62,Qd Td,86.84,8.23,39.17,5.36,Discard Qd Td
Qd Jh Jd Th W,Three of a Kind,78.62,Qd Th,86.84,8.23,39.17,5.36,Discard Qd Th
Qd Js Jd Td W,Three of a Kind,78.62,Qd Td,86.84,8.23,39.17,5.36,Discard Qd Td
Qd Js Jd Ts W,Three of a Kind,78.62,Qd Ts,86.84,8.23,39.17,5.36,Discard Qd Ts
Qh Jh Jc Tc W,Three of a Kind,78.62,Qh Tc,86.84,8.23,39.17,5.36,Discard Qh Tc
Qh Jh Jc Th W,Three of a Kind,78.62,Qh Th,86.84,8.23,39.17,5.36,Discard Qh Th
Qh Jh Jd Td W,Three of a Kind,78.62,Qh Td,86.84,8.23,39.17,5.36,Discard Qh Td
Qh Jh Jd Th W,Three of a Kind,78.62,Qh Th,86.84,8.23,39.17,5.36,Discard Qh Th
Qh Js Jh Th W,Three of a Kind,78.62,Qh Th,86.84,8.23,39.17,5.36,Discard Qh Th
Qh Js Jh Ts W,Three of a Kind,78.62,Qh Ts,86.84,8.23,39.17,5.36,Discard Qh Ts
Qs Js Jc Tc W,Three of a Kind,78.62,Qs Tc,86.84,8.23,39.17,5.36,Discard Qs Tc
Qs Js Jc Ts W,Three of a Kind,78.62,Qs Ts,86.84,8.23,39.17,5.36,Discard Qs Ts
Qs Js Jd Td W,Three of a Kind,78.62,Qs Td,86.84,8.23,39.17,5.36,Discard Qs Td
Qs Js Jd Ts W,Three of a Kind,78.62,Qs Ts,86.84,8.23,39.17,5.36,Discard Qs Ts
Qs Js Jh Th W,Three of a Kind,78.62,Qs Th,86.84,8.23,39.17,5.36,Discard Qs Th
Qs Js Jh Ts W,Three of a Kind,78.62,Qs Ts,86.84,8.23,39.17,5.36,Discard Qs Ts
Ah Ad Ac Jc Ts,Three of a Kind,80.88,Jc Ts,86.74,5.86,39.17,6.57,Discard Jc Ts
Ah Ad Ac Jd Ts,Three of a Kind,80.88,Jd Ts,86.74,5.86,39.17,6.57,Discard Jd Ts
Ah Ad Ac Jh Ts,Three of a Kind,80.88,Jh Ts,86.74,5.86,39.17,6.57,Discard Jh Ts
Ah Ad Ac Js Tc,Three of a Kind,80.88,Js Tc,86.74,5.86,39.17,6.57,Discard Js Tc
Ah Ad Ac Js Td,Three of a Kind,80.88,Js Td,86.74,5.86,39.17,6.57,Discard Js Td
Ah Ad Ac Js Th,Three of a Kind,80.88,Js Th,86.74,5.86,39.17,6.57,Discard Js Th
Ah Ad Ac Kc Js,Three of a Kind,80.88,Kc Js,86.74,5.86,39.17,6.57,Discard Kc Js
Ah Ad Ac Kc Qs,Three of a Kind,80.88,Kc Qs,86.74,5.86,39.17,6.57,Discard Kc Qs
Ah Ad Ac Kc Ts,Three of a Kind,80.88,Kc Ts,86.74,5.86,39.17,6.57,Discard Kc Ts
Ah Ad Ac Kd Js,Three of a Kind,80.88,Kd Js,86.74,5.86,39.17,6.57,Discard Kd Js
Ah Ad Ac Kd Qs,Three of a Kind,80.88,Kd Qs,86.74,5.86,39.17,6.57,Discard Kd Qs
Ah Ad Ac Kd Ts,Three of a Kind,80.88,Kd Ts,86.74,5.86,39.17,6.57,Discard Kd Ts
Ah Ad Ac Kh Js,Three of a Kind,80.88,Kh Js,86.74,5.86,39.17,6.57,Discard Kh Js
Ah Ad Ac Kh Qs,Three of a Kind,80.88,Kh Qs,86.74,5.86,39.17,6.57,Discard Kh Qs
Ah Ad Ac Kh Ts,Three of a Kind,80.88,Kh Ts,86.74,5.86,39.17,6.57,Discard Kh Ts
Ah Ad Ac Ks Jc,Three of a Kind,80.88,Ks Jc,86.74,5.86,39.17,6.57,Discard Ks Jc
Ah Ad Ac Ks Jd,Three of a Kind,80.88,Ks Jd,86.74,5.86,39.17,6.57,Discard Ks Jd
Ah Ad Ac Ks Jh,Three of a Kind,80.88,Ks Jh,86.74,5.86,39.17,6.57,Discard Ks Jh
Ah Ad Ac Ks Qc,Three of a Kind,80.88,Ks Qc,86.74,5.86,39.17,6.57,Discard Ks Qc
Ah Ad Ac Ks Qd,Three of a Kind,80.88,Ks Qd,86.74,5.86,39.17,6.57,Discard Ks Qd
Ah Ad Ac Ks Qh,Three of a Kind,80.88,Ks Qh,86.74,5.86,39.17,6.57,Discard Ks Qh
Ah Ad Ac Ks Tc,Three of a Kind,80.88,Ks Tc,86.74,5.86,39.17,6.57,Discard Ks Tc
Ah Ad Ac Ks Td,Three of a Kind,80.88,Ks Td,86.74,5.86,39.17,6.57,Discard Ks Td
Ah Ad Ac Ks Th,Three of a Kind,80.88,Ks Th,86.74,5.86,39.17,6.57,Discard Ks Th
Ah Ad Ac Qc Js,Three of a Kind,80.88,Qc Js,86.74,5.86,39.17,6.57,Discard Qc Js
Ah Ad Ac Qc Ts,Three of a Kind,80.88,Qc Ts,86.74,5.86,39.17,6.57,Discard Qc Ts
Ah Ad Ac Qd Js,Three of a Kind,80.88,Qd Js,86.74,5.86,39.17,6.57,Discard Qd Js
Ah Ad Ac Qd Ts,Three of a Kind,80.88,Qd Ts,86.74,5.86,39.17,6.57,Discard Qd Ts
Ah Ad Ac Qh Js,Three of a Kind,80.88,Qh Js,86.74,5.86,39.17,6.57,Discard Qh Js
Ah Ad Ac Qh Ts,Three of a Kind,80.88,Qh Ts,86.74,5.86,39.17,6.57,Discard Qh Ts
Ah Ad Ac Qs Jc,Three of a Kind,80.88,Qs Jc,86.74,5.86,39.17,6.57,Discard Qs Jc
Ah Ad Ac Qs Jd,Three of a Kind,80.88,Qs Jd,86.74,5.86,39.17,6.57,Discard Qs Jd
Ah Ad Ac Qs Jh,Three of a Kind,80.88,Qs Jh,86.74,5.86,39.17,6.57,Discard Qs Jh
Ah Ad Ac Qs Tc,Three of a Kind,80.88,Qs Tc,86.74,5.86,39.17,6.57,Discard Qs Tc
Ah Ad Ac Qs Td,Three of a Kind,80.88,Qs Td,86.74,5.86,39.17,6.57,Discard Qs Td
Ah Ad Ac Qs Th,Three of a Kind,80.88,Qs Th,86.74,5.86,39.17,6.57,Discard Qs Th
As Ad Ac Jc Th,Three of a Kind,80.88,Jc Th,86.74,5.86,39.17,6.57,Discard Jc Th
As Ad Ac Jd Th,Three of a Kind,80.88,Jd Th,86.74,5.86,39.17,6.57,Discard Jd Th
As Ad Ac Jh Tc,Three of a Kind,80.88,Jh Tc,86.74,5.86,39.17,6.57,Discard Jh Tc
As Ad Ac Jh Td,Three of a Kind,80.88,Jh Td,86.74,5.86,39.17,6.57,Discard Jh Td
As Ad Ac Jh Ts,Three of a Kind,80.88,Jh Ts,86.74,5.86,39.17,6.57,Discard Jh Ts
As Ad Ac Js Th,Three of a Kind,80.88,Js Th,86.74,5.86,39.17,6.57,Discard Js Th
As Ad Ac Kc Jh,Three of a Kind,80.88,Kc Jh,86.74,5.86,39.17,6.57,Discard Kc Jh
As Ad Ac Kc Qh,Three of a Kind,80.88,Kc Qh,86.74,5.86,39.17,6.57,Discard Kc Qh
As Ad Ac Kc Th,Three of a Kind,80.88,Kc Th,86.74,5.86,39.17,6.57,Discard Kc Th
As Ad Ac Kd Jh,Three of a Kind,80.88,Kd Jh,86.74,5.86,39.17,6.57,Discard Kd Jh
As Ad Ac Kd Qh,Three of a Kind,80.88,Kd Qh,86.74,5.86,39.17,6.57,Discard Kd Qh
As Ad Ac Kd Th,Three of a Kind,80.88,Kd Th,86.74,5.86,39.17,6.57,Discard Kd Th
As Ad Ac Kh Jc,Three of a Kind,80.88,Kh Jc,86.74,5.86,39.17,6.57,Discard Kh Jc
As Ad Ac Kh Jd,Three of a Kind,80.88,Kh Jd,86.74,5.86,39.17,6.57,Discard Kh Jd
As Ad Ac Kh Js,Three of a Kind,80.88,Kh Js,86.74,5.86,39.17,6.57,Discard Kh Js
As Ad Ac Kh Qc,Three of a Kind,80.88,Kh Qc,86.74,5.86,39.17,6.57,Discard Kh Qc
As Ad Ac Kh Qd,Three of a Kind,80.88,Kh Qd,86.74,5.86,39.17,6.57,Discard Kh Qd
As Ad Ac Kh Qs,Three of a Kind,80.88,Kh Qs,86.74,5.86,39.17,6.57,Discard Kh Qs
As Ad Ac Kh Tc,Three of a Kind,80.88,Kh Tc,86.74,5.86,39.17,6.57,Discard Kh Tc
As Ad Ac Kh Td,Three of a Kind,80.88,Kh Td,86.74,5.86,39.17,6.57,Discard Kh Td
As Ad Ac Kh Ts,Three of a Kind,80.88,Kh Ts,86.74,5.86,39.17,6.57,Discard Kh Ts
As Ad Ac Ks Jh,Three of a Kind,80.88,Ks Jh,86.74,5.86,39.17,6.57,Discard Ks Jh
As Ad Ac Ks Qh,Three of a Kind,80.88,Ks Qh,86.74,5.86,39.17,6.57,Discard Ks Qh
As Ad Ac Ks Th,Three of a Kind,80.88,Ks Th,86.74,5.86,39.17,6.57,Discard Ks Th
As Ad Ac Qc Jh,Three of a Kind,80.88,Qc Jh,86.74,5.86,39.17,6.57,Discard Qc Jh
As Ad Ac Qc Th,Three of a Kind,80.88,Qc Th,86.74,5.86,39.17,6.57,Discard Qc Th
As Ad Ac Qd Jh,Three of a Kind,80.88,Qd Jh,86.74,5.86,39.17,6.57,Discard Qd Jh
As Ad Ac Qd Th,Three of a Kind,80.88,Qd Th,86.74,5.86,39.17,6.57,Discard Qd Th
As Ad Ac Qh Jc,Three of a Kind,80.88,Qh Jc,86.74,5.86,39.17,6.57,Discard Qh Jc
As Ad Ac Qh Jd,Three of a Kind,80.88,Qh Jd,86.74,5.86,39.17,6.57,Discard Qh Jd
As Ad Ac Qh Js,Three of a Kind,80.88,Qh Js,86.74,5.86,39.17,6.57,Discard Qh Js
As Ad Ac Qh Tc,Three of a Kind,80.88,Qh Tc,86.74,5.86,39.17,6.57,Discard Qh Tc
As Ad Ac Qh Td,Three of a Kind,80.88,Qh Td,86.74,5.86,39.17,6.57,Discard Qh Td
As Ad Ac Qh Ts,Three of a Kind,80.88,Qh Ts,86.74,5.86,39.17,6.57,Discard Qh Ts
As Ad Ac Qs Jh,Three of a Kind,80.88,Qs Jh,86.74,5.86,39.17,6.57,Discard Qs Jh
As Ad Ac Qs Th,Three of a Kind,80.88,Qs Th,86.74,5.86,39.17,6.57,Discard Qs Th
As Ah Ac Jc Td,Three of a Kind,80.88,Jc Td,86.74,5.86,39.17,6.57,Discard Jc Td
As Ah Ac Jd Tc,Three of a Kind,80.88,Jd Tc,86.74,5.86,39.17,6.57,Discard Jd Tc
As Ah Ac Jd Th,Three of a Kind,80.88,Jd Th,86.74,5.86,39.17,6.57,Discard Jd Th
As Ah Ac Jd Ts,Three of a Kind,80.88,Jd Ts,86.74,5.86,39.17,6.57,Discard Jd Ts
As Ah Ac Jh Td,Three of a Kind,80.88,Jh Td,86.74,5.86,39.17,6.57,Discard Jh Td
As Ah Ac Js Td,Three of a Kind,80.88,Js Td,86.74,5.86,39.17,6.57,Discard Js Td
As Ah Ac Kc Jd,Three of a Kind,80.88,Kc Jd,86.74,5.86,39.17,6.57,Discard Kc Jd
As Ah Ac Kc Qd,Three of a Kind,80.88,Kc Qd,86.74,5.86,39.17,6.57,Discard Kc Qd
As Ah Ac Kc Td,Three of a Kind,80.88,Kc Td,86.74,5.86,39.17,6.57,Discard Kc Td
As Ah Ac Kd Jc,Three of a Kind,80.88,Kd Jc,86.74,5.86,39.17,6.57,Discard Kd Jc
As Ah Ac Kd Jh,Three of a Kind,80.88,Kd Jh,86.74,5.86,39.17,6.57,Discard Kd Jh
As Ah Ac Kd Js,Three of a Kind,80.88,Kd Js,86.74,5.86,39.17,6.57,Discard Kd Js
As Ah Ac Kd Qc,Three of a Kind,80.88,Kd Qc,86.74,5.86,39.17,6.57,Discard Kd Qc
As Ah Ac Kd Qh,Three of a Kind,80.88,Kd Qh,86.74,5.86,39.17,6.57,Discard Kd Qh
As Ah Ac Kd Qs,Three of a Kind,80.88,Kd Qs,86.74,5.86,39.17,6.57,Discard Kd Qs
As Ah Ac Kd Tc,Three of a Kind,80.88,Kd Tc,86.74,5.86,39.17,6.57,Discard Kd Tc
As Ah Ac Kd Th,Three of a Kind,80.88,Kd Th,86.74,5.86,39.17,6.57,Discard Kd Th
As Ah Ac Kd Ts,Three of a Kind,80.88,Kd Ts,86.74,5.86,39.17,6.57,Discard Kd Ts
As Ah Ac Kh Jd,Three of a Kind,80.88,Kh Jd,86.74,5.86,39.17,6.57,Discard Kh Jd
As Ah Ac Kh Qd,Three of a Kind,80.88,Kh Qd,86.74,5.86,39.17,6.57,Discard Kh Qd
As Ah Ac Kh Td,Three of a Kind,80.88,Kh Td,86.74,5.86,39.17,6.57,Discard Kh Td
